Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
1,NJN,Kenyon Martin,University of Cincinnati,714,22397,9168,5006,1384,.482,.235,.629,31.4,12.8,7.0,1.9,46.6,.100
2,VAN,Stromile Swift,Louisiana State University,547,10804,4582,2535,275,.473,.074,.699,19.8,8.4,4.6,0.5,21.3,.095
3,LAC,Darius Miles,,446,11730,4507,2190,840,.472,.168,.590,26.3,10.1,4.9,1.9,9.5,.039
4,CHI,Marcus Fizer,Iowa State University,289,6032,2782,1340,352,.435,.191,.691,20.9,9.6,4.6,1.2,2.7,.022
5,ORL,Mike Miller,University of Florida,831,24880,10194,3987,2428,.461,.406,.767,29.9,12.3,4.8,2.9,56.0,.108
6,ATL,DerMarr Johnson,University of Cincinnati,344,5930,2121,769,304,.411,.336,.789,17.2,6.2,2.2,0.9,6.4,.052
7,CHI,Chris Mihm,University of Texas at Austin,436,8758,3262,2302,223,.459,.231,.704,20.1,7.5,5.3,0.5,13.3,.073
8,CLE,Jamal Crawford,University of Michigan,888,28044,13664,2208,3346,.411,.350,.854,31.6,15.4,2.5,3.8,45.0,.077
9,HOU,Joel Przybilla,University of Minnesota,592,11733,2293,3665,256,.552,.000,.557,19.8,3.9,6.2,0.4,23.0,.094
10,ORL,Keyon Dooling,University of Missouri,728,14134,5067,964,1601,.416,.349,.799,19.4,7.0,1.3,2.2,18.5,.063
11,BOS,Jerome Moiso,University of California Los Angeles,145,1392,386,395,38,.489,.000,.593,9.6,2.7,2.7,0.3,2.1,.074
12,DAL,Etan Thomas,Syracuse University,409,7084,2341,1927,149,.513,,.603,17.3,5.7,4.7,0.4,14.9,.101
13,ORL,Courtney Alexander,California State University Fresno,187,4067,1690,409,227,.422,.339,.813,21.7,9.0,2.2,1.2,4.1,.048
14,DET,Mateen Cleaves,Michigan State University,167,1863,609,175,310,.389,.267,.728,11.2,3.6,1.0,1.9,-0.8,-0.021
15,MIL,Jason Collier,Georgia Institute of Technology,151,2178,841,443,51,.455,.350,.738,14.4,5.6,2.9,0.3,1.9,.042
16,SAC,Hedo Turkoglu,,897,25598,10675,3783,2762,.426,.381,.787,28.5,11.9,4.2,3.1,61.3,.115
17,SEA,Desmond Mason,Oklahoma State University,643,19641,7767,2863,1049,.449,.260,.740,30.5,12.1,4.5,1.6,23.1,.056
18,LAC,Quentin Richardson,DePaul University,783,20785,8032,3666,1138,.397,.355,.718,26.5,10.3,4.7,1.5,32.8,.076
19,CHH,Jamaal Magloire,University of Kentucky,680,14621,4917,4408,386,.480,.000,.639,21.5,7.2,6.5,0.6,27.7,.091
20,PHI,Speedy Claxton,Hofstra University,334,8548,3096,830,1441,.409,.193,.762,25.6,9.3,2.5,4.3,14.2,.080
21,TOR,Morris Peterson,Michigan State University,711,19366,7628,2483,1090,.418,.373,.773,27.2,10.7,3.5,1.5,35.7,.089
22,NYK,Donnell Harvey,University of Florida,205,3318,1150,827,161,.460,.100,.659,16.2,5.6,4.0,0.8,4.7,.069
23,UTA,DeShawn Stevenson,,824,18396,5930,1832,1355,.406,.340,.698,22.3,7.2,2.2,1.6,12.1,.032
24,CHI,Dalibor Bagaric,,95,973,251,238,37,.361,.000,.559,10.2,2.6,2.5,0.4,-0.9,-0.043
25,PHO,Jake Tsakalidis,,315,5005,1497,1238,101,.490,.000,.657,15.9,4.8,3.9,0.3,9.9,.095
26,DEN,Mamadou N'Diaye,Auburn University,69,858,262,225,8,.427,.000,.736,12.4,3.8,3.3,0.1,1.8,.101
27,IND,Primoz Brezec,,342,6192,2452,1327,179,.498,.167,.701,18.1,7.2,3.9,0.5,10.8,.084
28,POR,Erick Barkley,St. John's University,27,266,77,21,40,.356,.267,.900,9.9,2.9,0.8,1.5,0.2,.027
29,LAL,Mark Madsen,Stanford University,453,5335,975,1157,181,.457,.063,.527,11.8,2.2,2.6,0.4,8.2,.074
30,LAC,Marko Jaric,,447,11246,3193,1200,1600,.404,.344,.730,25.2,7.1,2.7,3.6,12.1,.052
31,DAL,Dan Langhi,Vanderbilt University,133,1253,393,199,39,.391,.289,.613,9.4,3.0,1.5,0.3,0.3,.012
32,CHI,A.J. Guyton,Indiana University,80,1246,442,80,147,.377,.378,.822,15.6,5.5,1.0,1.8,0.3,.010
33,CHI,Jake Voskuhl,University of Connecticut,450,6443,1814,1539,237,.487,.333,.714,14.3,4.0,3.4,0.5,11.6,.087
34,CHI,Khalid El-Amin,University of Connecticut,50,936,314,81,145,.370,.333,.778,18.7,6.3,1.6,2.9,0.6,.030
35,WAS,Mike Smith,University of Louisiana at Monroe,17,180,51,22,10,.322,.167,.625,10.6,3.0,1.3,0.6,-0.1,-0.033
36,NJN,Soumaila Samake,,47,303,68,76,5,.389,,.462,6.4,1.4,1.6,0.1,0.3,.046
37,MIA,Eddie House,Arizona State University,717,12405,5356,1223,1112,.409,.390,.851,17.3,7.5,1.7,1.6,20.0,.077
38,HOU,Eduardo Najera,University of Oklahoma,619,11213,3052,2307,493,.481,.311,.671,18.1,4.9,3.7,0.8,24.7,.106
39,NYK,Lavor Postell,St. John's University,61,446,195,45,13,.335,.250,.795,7.3,3.2,0.7,0.2,-0.2,-0.025
40,ATL,Hanno Mottola,University of Utah,155,2360,715,442,75,.442,.063,.783,15.2,4.6,2.9,0.5,0.9,.019
41,SAS,Chris Carrawell,Duke University,,,,,,,,,,,,,,
42,SEA,Olumide Oyedeji,,93,587,127,196,11,.495,,.659,6.3,1.4,2.1,0.1,1.2,.095
43,MIL,Michael Redd,Ohio State University,629,20104,11972,2411,1338,.447,.380,.838,32.0,19.0,3.8,2.1,55.9,.134
44,DET,Brian Cardinal,Purdue University,456,6477,2108,1050,465,.408,.372,.861,14.2,4.6,2.3,1.0,15.4,.114
45,SAC,Jabari Smith,Louisiana State University,108,1063,329,178,66,.413,.125,.690,9.8,3.0,1.6,0.6,1.3,.058
46,TOR,DeeAndre Hulett,College of the Sequoias,,,,,,,,,,,,,,
47,SEA,Josip Sesar,,,,,,,,,,,,,,,
48,PHI,Mark Karcher,Temple University,,,,,,,,,,,,,,
49,MIL,Jason Hart,Syracuse University,341,5289,1623,567,774,.417,.315,.788,15.5,4.8,1.7,2.3,8.6,.078
50,UTA,Kaniel Dickens,University of Idaho,19,85,22,12,2,.400,.333,.750,4.5,1.2,0.6,0.1,0.1,.055
51,MIN,Igor Rakocevic,,42,244,78,17,33,.379,.417,.806,5.8,1.9,0.4,0.8,0.1,.022
52,MIA,Ernest Brown,Indian Hills Community College,3,21,3,6,0,.167,,.250,7.0,1.0,2.0,0.0,-0.2,-0.349
53,DEN,Dan McClintock,Northern Arizona University,6,58,18,17,1,.500,,.000,9.7,3.0,2.8,0.2,0.0,.007
54,SAS,Corey Hightower,Indian Hills Community College,,,,,,,,,,,,,,
55,GSW,Chris Porter,Auburn University,51,1147,440,189,61,.389,.000,.667,22.5,8.6,3.7,1.2,0.2,.008
56,IND,Jaquay Walls,University of Colorado,,,,,,,,,,,,,,
57,ATL,Scoonie Penn,Ohio State University,,,,,,,,,,,,,,
58,DAL,Pete Mickeal,University of Cincinnati,,,,,,,,,,,,,,